"year","sampleId","farmName","producerName","producerId","fieldName","fieldId","pairId","bw","county","longitude","latitude","crop","variety","eff","texture","measurement","value","qualityCode","lab","testId"
2022,"D030301","Farm 03","Name 03","03","Field 01","01",,,"D",-120,50,"Wheat",,,"Silt Loam","totalN_%",0.08,,"Soiltest",""
2022,"D030301","Farm 03","Name 03","03","Field 01","01",,,"D",-120,50,"Wheat",,,"Silt Loam","totalC_%",0.67,,"Soiltest",""
2022,"D030301","Farm 03","Name 03","03","Field 01","01",,,"D",-120,50,"Wheat",,,"Silt Loam","TOC_%",0.67,,"Soiltest",""
2022,"D030301","Farm 03","Name 03","03","Field 01","01",,,"D",-120,50,"Wheat",,,"Silt Loam","OM_%",1.3,,"Soiltest",""
2022,"D030301","Farm 03","Name 03","03","Field 01","01",,,"D",-120,50,"Wheat",,,"Silt Loam","poxC_mg.kg",130,,"Soiltest",""
2022,"D030301","Farm 03","Name 03","03","Field 01","01",,,"D",-120,50,"Wheat",,,"Silt Loam","96hrminC_mgC.kg.day",9.8,,"Soiltest",""
2022,"D030301","Farm 03","Name 03","03","Field 01","01",,,"D",-120,50,"Wheat",,,"Silt Loam","nitrateN_mg.kg",1.9,,"Soiltest",""
2022,"D030301","Farm 03","Name 03","03","Field 01","01",,,"D",-120,50,"Wheat",,,"Silt Loam","ammN_mg.kg",2.3,,"Soiltest",""
2022,"D030301","Farm 03","Name 03","03","Field 01","01",,,"D",-120,50,"Wheat",,,"Silt Loam","pmN_mg.kg",1.5,,"Soiltest",""
2022,"D030301","Farm 03","Name 03","03","Field 01","01",,,"D",-120,50,"Wheat",,,"Silt Loam","pmN_lbs.ac",236.99,,"Soiltest",""
2022,"D030301","Farm 03","Name 03","03","Field 01","01",,,"D",-120,50,"Wheat",,,"Silt Loam","ace_g.protein.kg.soil",5.41,,"Soiltest",""
2022,"D030301","Farm 03","Name 03","03","Field 01","01",,,"D",-120,50,"Wheat",,,"Silt Loam","EC_mmhos.cm",0.29,,"Soiltest",""
2022,"D030301","Farm 03","Name 03","03","Field 01","01",,,"D",-120,50,"Wheat",,,"Silt Loam","olsenP_mg.kg",19,,"Soiltest",""
2022,"D030301","Farm 03","Name 03","03","Field 01","01",,,"D",-120,50,"Wheat",,,"Silt Loam","K_mg.kg",356,,"Soiltest",""
2022,"D030301","Farm 03","Name 03","03","Field 01","01",,,"D",-120,50,"Wheat",,,"Silt Loam","Ca_cmolc.kg",6.6,,"Soiltest",""
2022,"D030301","Farm 03","Name 03","03","Field 01","01",,,"D",-120,50,"Wheat",,,"Silt Loam","Ca_mg.kg",1320,,"Soiltest",""
